,Losses_15,Losses_30,Losses_45,Losses_60,Losses_75,Losses_90,Losses_105,Losses_120,Losses_135,Losses_150,Subj,Study
0,-500.0,-1800.0,-450.0,-600.0,-700.0,-2100.0,-300.0,-150.0,-400.0,-1700.0,1,Steingroever2011
1,-1250.0,0.0,-1250.0,-1450.0,-500.0,-1000.0,-750.0,-600.0,-1650.0,-1850.0,2,Steingroever2011
2,-1650.0,-700.0,-1250.0,-250.0,-1250.0,-250.0,-1800.0,-500.0,-500.0,0.0,3,Steingroever2011
3,-550.0,-1050.0,-700.0,0.0,-250.0,0.0,-250.0,-250.0,-500.0,-250.0,4,Steingroever2011
4,-1800.0,0.0,-500.0,-550.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,5,Steingroever2011
5,-900.0,-1500.0,-1550.0,-1450.0,-50.0,-700.0,-600.0,-250.0,-1150.0,-950.0,6,Steingroever2011
6,-550.0,-300.0,-150.0,0.0,-1900.0,-300.0,0.0,-250.0,-300.0,-1250.0,7,Steingroever2011
7,-350.0,-250.0,-300.0,-250.0,-400.0,-250.0,-200.0,-250.0,-350.0,-250.0,8,Steingroever2011
8,-1300.0,-1950.0,-150.0,-50.0,-600.0,-1600.0,-400.0,-500.0,-450.0,-300.0,9,Steingroever2011
9,-300.0,-400.0,-250.0,-250.0,-250.0,-200.0,-250.0,-350.0,-250.0,-200.0,10,Steingroever2011
10,-1300.0,-1900.0,-250.0,-250.0,0.0,-500.0,-250.0,-250.0,-250.0,-250.0,11,Steingroever2011
11,-500.0,-350.0,-1650.0,-1250.0,-1250.0,-1550.0,-1600.0,-50.0,-1400.0,-250.0,12,Steingroever2011
12,-1300.0,-1300.0,-500.0,-1250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,13,Steingroever2011
13,-1250.0,-1750.0,-300.0,-150.0,0.0,-50.0,-1650.0,-200.0,-50.0,-1250.0,14,Steingroever2011
14,0.0,-1800.0,-500.0,-1550.0,-300.0,-2050.0,-300.0,-50.0,-1300.0,-200.0,15,Steingroever2011
15,-450.0,-2500.0,-150.0,-1950.0,-250.0,-150.0,-250.0,-250.0,-250.0,-250.0,16,Steingroever2011
16,-450.0,-1400.0,-1450.0,-50.0,-300.0,-1250.0,-400.0,-50.0,-300.0,-300.0,17,Steingroever2011
17,-1500.0,-250.0,-400.0,-1950.0,-1450.0,-1550.0,-50.0,-1850.0,0.0,-250.0,18,Steingroever2011
18,-250.0,-350.0,-600.0,-350.0,-1800.0,-550.0,-50.0,-1600.0,-300.0,-200.0,19,Steingroever2011
19,-1250.0,-300.0,-450.0,-150.0,-300.0,-200.0,-250.0,-150.0,-750.0,-100.0,20,Steingroever2011
20,-1250.0,-350.0,-450.0,-250.0,-250.0,-250.0,-200.0,-250.0,-200.0,-150.0,21,Steingroever2011
21,-550.0,-400.0,-1650.0,-300.0,-400.0,-150.0,-1950.0,-1550.0,0.0,-300.0,22,Steingroever2011
22,-1650.0,-700.0,-300.0,-1500.0,-250.0,-1400.0,0.0,0.0,-1500.0,-1250.0,23,Steingroever2011
23,-300.0,-1250.0,-1250.0,-500.0,-1750.0,-300.0,-250.0,-1550.0,-300.0,-200.0,24,Steingroever2011
24,-1250.0,-300.0,-700.0,-1550.0,-250.0,-650.0,-400.0,-200.0,-50.0,-2200.0,25,Steingroever2011
25,-1500.0,-1900.0,-1300.0,-450.0,-500.0,-250.0,-250.0,-350.0,-1400.0,-1500.0,26,Steingroever2011
26,-1250.0,-1700.0,-200.0,-250.0,-150.0,-200.0,-300.0,-200.0,-200.0,-250.0,27,Steingroever2011
27,-300.0,-1500.0,-150.0,-1300.0,-550.0,-1900.0,0.0,-2750.0,-50.0,-1800.0,28,Steingroever2011
